course_code,title,requirement_type,required_for_majors,elective_for_majors
CE 322,Structural Engineering II,required_coursework,cive,
CE 331,Introduction to Geotechnical Engineering,required_coursework,cive,
CE 332,Introduction to Foundation Engineering,required_coursework,cive,
CE 341,Design of Steel Structures,required_coursework,cive,
CE 342,Design of Reinforced Concrete Structures,required_coursework,cive,
CE 343,Water Resources Engineering,required_coursework,cive,
CE 344,Environmental Systems Engineering,required_coursework,cive,
CE 346,Hydraulic Engineering,required_coursework,cive,
CE 348,Environmental and Sanitary Engineering (same as EID348),required_coursework,cive,
CE 352,Elements of Transportation Design,engineering_electives,,
CE 361,Civil Engineering Experimental Projects,required_coursework,cive,
CE 363,Civil Engineering Design I,required_coursework,cive,
CE 364,Civil Engineering Design II,required_coursework,cive,
CE 369,Civil Engineering Project,engineering_electives,,
CE 390,Introduction to Sustainable Design,engineering_electives,,
CE 391,Laboratory Testing of Building Materials,engineering_electives,,
CE 414,Solid Waste Management,engineering_electives,,
CE 422,Finite Element Methods,engineering_electives,,
CE 424,Plates and Shells,engineering_electives,,
CE 425,Structural Dynamics,engineering_electives,,
CE 426,Advanced Structural Design,engineering_electives,,
CE 427,Behavior and Design of Prestressed Concrete Structures,engineering_electives,,
CE 428,Advanced Structural Steel Design,engineering_electives,,
CE 429,Advanced Concrete Design,engineering_electives,,
CE 431,Foundation Engineering I,engineering_electives,,
CE 432,Foundation Engineering II,engineering_electives,,
CE 433,Lateral Earth Pressures and Retaining Structures I,engineering_electives,,
CE 434,Lateral Earth Pressures and Retaining Structures II,engineering_electives,,
CE 435,Special Topics in Geotechnical Engineering I,engineering_electives,,
CE 436,Special Topics in Geotechnical Engineering II,engineering_electives,,
CE 437,Geo-Environmental Engineering,engineering_electives,,
CE 438,Forensic Geotechnical Engineering,engineering_electives,,
CE 440,Industrial Waste Treatment Design,engineering_electives,,
CE 441,Water and Wastewater Technology,engineering_electives,,
CE 442,Open Channel Hydraulics,engineering_electives,,
CE 443,Groundwater Hydrology,engineering_electives,,
CE 444,Hydrology,engineering_electives,,
CE 446,Pollution Prevention or Minimization,engineering_electives,,
CE 447,Stream and Estuary Pollution,engineering_electives,,
CE 448,Environmental and Sanitary Engineering (same as EID 448),engineering_electives,,
CE 449,Hazardous Waste Management,engineering_electives,,
CE 450,Civil Engineering Construction,engineering_electives,,
CE 460,Innovations in Urban Infrastructure Design,engineering_electives,,
CE 469,Independent Research Project,engineering_electives,,
CE 470,Urban Security,engineering_electives,,
CE 471,Engineering Risk Analysis,engineering_electives,,
CE 472,Mass Timber Design,engineering_electives,,
CE 473,Earthquake and Wind Engineering,engineering_electives,,
CE 481,Bridge Engineering,engineering_electives,,
CE 482,Resilient Civil Infrastructure,engineering_electives,,
CE 483,Building Information Modeling,engineering_electives,,
CE 484,Civil Engineering Project Management,engineering_electives,,
CE 485,Green Sustainable Cities,engineering_electives,,
CE 486,Urban Megaprojects and Environmental Impacts,engineering_electives,,
CE 487,Alternative Energy Projects,engineering_electives,,
CE 499,Thesis/Project,engineering_electives,,
ECE 150,Digital Logic Design,required_coursework,cs|ee1|ee2,
ECE 160,Programming for Electrical Engineers,required_coursework,ee1|ee2,
ECE 210,MATLAB Seminar: Signals & Systems,required_coursework,ee1|ee2,
ECE 211,Signal Processing,required_coursework,ee1|ee2,
ECE 240,Circuit Analysis,required_coursework,ee1|ee2,
ECE 241,Electronics I,required_coursework,ee1|ee2,
ECE 251,Computer Architecture,required_coursework,cs|ee1|ee2,
ECE 264,Data Structures & Algorithms I,required_coursework,ee1,
