course_code,title,requirement_type,required_for_majors,elective_for_majors
SS 304,Economic Growth and Innovation,humanities_social_science_electives,,
SS 305,"Leonardo, Scientist and Engineer",humanities_social_science_electives,,
SS 306,Spacing Out-Zooming In: Implications on Social Interaction and Design,humanities_social_science_electives,,
SS 308,Public Policy in Contemporary America,humanities_social_science_electives,,
SS 315,International Trade and Development: The Case of China,humanities_social_science_electives,,
SS 318,Seminar in Social Science,humanities_social_science_electives,,
SS 318N 1,Histories of Race in Latin(x) America,humanities_social_science_electives,,
SS 320,Immigrants in Place,humanities_social_science_electives,,
SS 321,The American Presidency,humanities_social_science_electives,,
SS 322,History and Visuality in the 20th Century,humanities_social_science_electives,,
SS 323,Politics and Collective Memory,humanities_social_science_electives,,
SS 333,Politics of Ethnonational Conflict,humanities_social_science_electives,,
SS 334,Microeconomics,humanities_social_science_electives,,
SS 335,Science and Technology in the Long 18th Century (1687-1839),humanities_social_science_electives,,
SS 337,How to Economics?,humanities_social_science_electives,,
SS 338,"What is Property? Black, Indigenous, and Feminist Theories of Property",humanities_social_science_electives,,
SS 339,African History: History of West Africa,humanities_social_science_electives,,
SS 340,Cause and Effect,humanities_social_science_electives,,
SS 342,Anthropology of Ritual,humanities_social_science_electives,,
SS 345,The Raymond G. Brown Seminar: Varying Topics,humanities_social_science_electives,,
SS 346,Urban Sociology: Reading the City,humanities_social_science_electives,,
SS 347,Macroeconomics,humanities_social_science_electives,,
SS 348,Intermediate Macroeconomics,humanities_social_science_electives,,
SS 350,Colonial Cities,humanities_social_science_electives,,
SS 351,20th Century History “What we are talking about when we talk about Fascism?”,humanities_social_science_electives,,
SS 352,Environmental Sustainability,humanities_social_science_electives,,
SS 354,"New York, 1820-1920: An Urban and Cultural History",humanities_social_science_electives,,
SS 357,The Archive & The City,humanities_social_science_electives,,
SS 358,Social History of Food,humanities_social_science_electives,,
SS 360,American Intellectual History,humanities_social_science_electives,,
SS 361,Urban Archaeology,humanities_social_science_electives,,
SS 362,The History of Poverty,humanities_social_science_electives,,
SS 366,Migration and Empire,humanities_social_science_electives,,
SS 369,Cognitive Pyschology: Conversations on Consciousness and Attention,humanities_social_science_electives,,
SS 371,"""Am I That Name?” Topics in Gender and Sexuality",humanities_social_science_electives,,
SS 372,Global Issues,humanities_social_science_electives,,
SS 374,Contemporary Social Psychology,humanities_social_science_electives,,
SS 378,"Time, Travel and Communication in Early Modern Europe",humanities_social_science_electives,,
SS 382,Game Theory,humanities_social_science_electives,,
SS 384,Anthropology and the Other,humanities_social_science_electives,,
SS 388,Comparative Cities,humanities_social_science_electives,,
SS 390,The Rise of the Modern City in the European Middle Ages,humanities_social_science_electives,,
SS 391,Introduction to Mind and Brain,humanities_social_science_electives,,
SS 394,American Radicalism,humanities_social_science_electives,,
SS 99,Independent Study (Social Sciences),humanities_social_science_electives,,
"HTA 101, 102",Modern to Contemporary: An Introduction to Art History,humanities_social_science_electives,,
HTA 209,Medieval Art and Architecture,humanities_social_science_electives,,
HTA 211,The Renaissance in Italy,humanities_social_science_electives,,
HTA 212,Introduction to African American Art,humanities_social_science_electives,,
HTA 213,Oral Art History,humanities_social_science_electives,,
HTA 217,American Stories: Reconsidering Documentary Photography,humanities_social_science_electives,,
HTA 220,Japanese Art,humanities_social_science_electives,,
HTA 221,Buddhist Art: Origins to Modernity,humanities_social_science_electives,,
HTA 231,History of Industrial Design,humanities_social_science_electives,,
HTA 240,Asian Contemporary Art,humanities_social_science_electives,,
HTA 261,Art and Social Practice,humanities_social_science_electives,,
HTA 263,African Art,humanities_social_science_electives,,
HTA 264,Contemporary Artists of the Black Atlantic (1960’s-Present),humanities_social_science_electives,,
HTA 265,Money in Antiquity,humanities_social_science_electives,,
HTA 270,The Art of Greece and Rome,humanities_social_science_electives,,
HTA 271,The Hellenistic Age: Art & Society in an Ancient Multicultural World,humanities_social_science_electives,,
HTA 273,History of Photography,humanities_social_science_electives,,
HTA 275,Twentieth-Century Art History,humanities_social_science_electives,,
HTA 278,Modernism in Latin America,humanities_social_science_electives,,
HTA 280,International Futurism,humanities_social_science_electives,,
HTA 281,Ancient Mediterranean World,humanities_social_science_electives,,
HTA 285,Single-Work Seminar,humanities_social_science_electives,,
HTA 296,The Portrait: Re-examining Portraiture and the New Subject,humanities_social_science_electives,,
HTA 297,History of Printmaking,humanities_social_science_electives,,
HTA 298,History of Graphic Design,humanities_social_science_electives,,
HTA 299,Ceramics Within and Beyond Categories,humanities_social_science_electives,,
HTA 300,Single-Artist Seminar,humanities_social_science_electives,,
HTA 303,Global Renaissance,humanities_social_science_electives,,
HTA 305,Performativity,humanities_social_science_electives,,
HTA 306,Ephemeral Art,humanities_social_science_electives,,
HTA 308,Women's Art and Feminisms,humanities_social_science_electives,,
HTA 310,Queer Art and Theory,humanities_social_science_electives,,
HTA 312,Art Beyond Sight,humanities_social_science_electives,,
HTA 313,Seminar in Art History,humanities_social_science_electives,,
HTA 313U 1,Contemporary Art and Performance,humanities_social_science_electives,,
HTA 313W 1,Arts of China,humanities_social_science_electives,,
HTA 314,Art Exchange Across National Boundaries,humanities_social_science_electives,,
HTA 315,Renaissance Art in Northern Europe: 1350-1550,humanities_social_science_electives,,
HTA 316,"Monuments, Artist Interventions and the Struggle for Memory",humanities_social_science_electives,,
HTA 320,Porcelain and the Politics of Chinoiserie,humanities_social_science_electives,,
HTA 322,Global Mediterranean Culture (391 – 1492),humanities_social_science_electives,,
HTA 324,Museum as Frame: Art in New York,humanities_social_science_electives,,
HTA 325,Native American Art,humanities_social_science_electives,,
HTA 328,Dada and Surrealism,humanities_social_science_electives,,
HTA 333,Islamic Art and Architecture,humanities_social_science_electives,,
HTA 335,Art and Architecture of the Ancient Near East: Persia from Prehistory to the Sasanian Empire,humanities_social_science_electives,,
HTA 338,View Source: Internet Art,humanities_social_science_electives,,
HTA 342,Exhibition as Medium,humanities_social_science_electives,,
HTA 343,Expanded Curatorial Practice,humanities_social_science_electives,,
HTA 351,Modernism and Intermediality,humanities_social_science_electives,,
HTA 99,Independent Study (History and Theory of Art),humanities_social_science_electives,,
CS 357,Operating Systems,required_coursework,cs,
ECE 352,Computer Hardware & Electronics,required_coursework,cs,
CS 366,Computer Hardware & Electronics,required_coursework,cs,
